collection_date	submissions	country
2020-12-06	192	United Kingdom
2020-12-05	214	United Kingdom
2020-12-04	281	United Kingdom
2020-12-03	147	United Kingdom
2020-12-02	140	United Kingdom
2020-12-01	33	USA
2020-12-01	4	United Kingdom
2020-11-30	73	United Kingdom
2020-11-29	103	United Kingdom
2020-11-28	133	United Kingdom
2020-11-27	426	United Kingdom
2020-11-26	367	United Kingdom
2020-11-25	251	United Kingdom
2020-11-24	60	United Kingdom
2020-11-23	369	United Kingdom
2020-11-22	408	United Kingdom
2020-11-21	219	United Kingdom
2020-11-20	634	United Kingdom
2020-11-19	236	United Kingdom
2020-11-18	1011	United Kingdom
2020-11-17	1	Ireland
2020-11-17	514	United Kingdom
2020-11-16	89	United Kingdom
2020-11-15	786	United Kingdom
2020-11-14	1594	United Kingdom
2020-11-13	1476	United Kingdom
2020-11-12	829	United Kingdom
2020-11-11	1241	United Kingdom
2020-11-10	374	United Kingdom
2020-11-09	773	United Kingdom
2020-11-08	1782	United Kingdom
2020-11-07	787	United Kingdom
2020-11-06	642	United Kingdom
2020-11-05	1466	United Kingdom
2020-11-04	1265	United Kingdom
2020-11-03	841	United Kingdom
2020-11-03	4	USA
2020-11-02	34	USA
2020-11-02	2009	United Kingdom
2020-11-01	1	Ireland
2020-11-01	1481	United Kingdom
2020-10-31	401	United Kingdom
2020-10-31	7	USA
2020-10-30	3	Ecuador
2020-10-30	1143	United Kingdom
2020-10-30	1	USA
2020-10-29	6	USA
2020-10-29	1023	United Kingdom
2020-10-28	323	United Kingdom
2020-10-28	1	Australia
2020-10-28	27	USA
2020-10-27	728	United Kingdom
2020-10-27	13	USA
2020-10-26	1	Ecuador
2020-10-26	2	Australia
2020-10-26	31	USA
2020-10-26	1465	United Kingdom
2020-10-25	1	USA
2020-10-25	360	United Kingdom
2020-10-24	2	USA
2020-10-24	947	United Kingdom
2020-10-23	737	United Kingdom
2020-10-23	4	USA
2020-10-23	2	Australia
2020-10-22	1908	United Kingdom
2020-10-22	2	Ireland
2020-10-22	13	USA
2020-10-22	6	Australia
2020-10-21	1965	United Kingdom
2020-10-21	15	USA
2020-10-20	11	USA
2020-10-20	1	Ireland
2020-10-20	8	Australia
2020-10-20	1373	United Kingdom
2020-10-19	1	Ireland
2020-10-19	1015	United Kingdom
2020-10-19	10	USA
