collection_date	submissions	country
2020-11-23	1	Tunisia
2020-11-22	4	Bahrain
2020-11-21	5	Bahrain
2020-11-19	1	USA
2020-11-18	1	Bahrain
2020-11-17	1	USA
2020-11-16	9	Bahrain
2020-11-15	3	Bahrain
2020-11-12	4	USA
2020-11-12	11	Bahrain
2020-11-11	1	Tunisia
2020-11-11	22	USA
2020-11-11	3	Bahrain
2020-11-10	15	USA
2020-11-10	2	Bahrain
2020-11-09	3	USA
2020-11-07	2	West Bank
2020-11-07	3	USA
2020-11-06	3	USA
2020-11-05	13	USA
2020-11-04	15	USA
2020-11-03	34	USA
2020-11-02	18	USA
2020-11-02	2	Tunisia
2020-11-01	26	USA
2020-11-01	4	Bahrain
2020-10-31	4	Tunisia
2020-10-31	5	USA
2020-10-30	22	USA
2020-10-29	6	USA
2020-10-28	14	USA
2020-10-27	36	USA
2020-10-26	2	Bahrain
2020-10-26	26	USA
2020-10-26	1	Tunisia
2020-10-26	1	Ecuador
2020-10-25	15	USA
2020-10-24	7	USA
2020-10-23	26	USA
2020-10-22	1	Australia
2020-10-22	27	USA
2020-10-21	13	USA
2020-10-20	17	USA
2020-10-19	15	USA
2020-10-19	1	Australia
2020-10-18	23	USA
2020-10-17	1	Australia
2020-10-17	10	USA
2020-10-16	17	USA
2020-10-15	1	Bahrain
2020-10-15	47	USA
2020-10-14	41	USA
2020-10-14	1	Australia
2020-10-14	31	Bahrain
2020-10-13	12	USA
2020-10-13	8	Bahrain
2020-10-13	2	Australia
2020-10-13	3	Russia
2020-10-12	2	Russia
2020-10-12	32	USA
2020-10-12	1	Australia
2020-10-11	8	Bahrain
2020-10-11	6	USA
2020-10-11	2	Hong Kong
2020-10-11	2	Australia
2020-10-10	5	USA
2020-10-10	1	Australia
2020-10-09	9	USA
2020-10-09	3	Australia
2020-10-08	1	Hong Kong
2020-10-08	2	Australia
2020-10-08	27	USA
2020-10-07	3	Hong Kong
2020-10-07	1	Australia
2020-10-07	24	USA
2020-10-06	30	USA
2020-10-06	1	Australia
2020-10-06	2	Hong Kong
2020-10-05	2	Australia
2020-10-05	34	USA
2020-10-05	2	Hong Kong
2020-10-04	2	Australia
2020-10-04	1	Taiwan
2020-10-04	17	USA
2020-10-04	1	Bahrain
2020-10-03	10	USA
2020-10-03	7	Australia
2020-10-02	2	Bahrain
2020-10-02	1	Hong Kong
2020-10-02	4	Australia
2020-10-02	54	USA
2020-10-01	1	Hong Kong
2020-10-01	187	USA
2020-10-01	1	Bahrain
2020-09-30	33	USA
2020-09-30	1	Australia
2020-09-29	24	USA
2020-09-29	2	Australia
2020-09-28	2	Australia
2020-09-28	32	USA
2020-09-28	3	Hong Kong
2020-09-27	13	USA
2020-09-27	6	Australia
2020-09-27	1	Bahrain
2020-09-26	10	USA
2020-09-26	5	Australia
2020-09-25	2	Australia
2020-09-25	25	USA
2020-09-24	3	Hong Kong
2020-09-24	13	Australia
2020-09-24	39	USA
2020-09-23	33	USA
2020-09-23	8	Australia
2020-09-22	30	USA
2020-09-22	11	Australia
2020-09-21	34	USA
2020-09-21	5	Australia
2020-09-20	7	USA
2020-09-20	13	Australia
2020-09-19	3	Hong Kong
2020-09-19	14	USA
2020-09-19	17	Australia
2020-09-18	36	USA
2020-09-18	15	Australia
2020-09-17	64	USA
2020-09-17	1	Bahrain
2020-09-17	22	Australia
2020-09-17	1	Taiwan
2020-09-16	39	Australia
2020-09-16	120	USA
2020-09-15	72	USA
2020-09-15	1	Hong Kong
2020-09-15	16	Australia
2020-09-14	64	USA
2020-09-14	1	Bahrain
2020-09-14	36	Australia
2020-09-13	1	Hong Kong
2020-09-13	8	USA
2020-09-13	27	Australia
2020-09-12	20	USA
2020-09-12	20	Australia
2020-09-11	27	Australia
2020-09-11	133	USA
2020-09-11	1	Bahrain
2020-09-10	27	Australia
2020-09-10	1	Bahrain
2020-09-10	69	USA
2020-09-09	106	USA
2020-09-09	20	Australia
2020-09-08	48	USA
2020-09-08	1	Hong Kong
2020-09-08	30	Australia
2020-09-07	41	Australia
2020-09-07	18	USA
2020-09-06	36	Australia
2020-09-06	16	USA
2020-09-06	1	Hong Kong
2020-09-06	1	Taiwan
2020-09-05	2	Poland
2020-09-05	33	Australia
2020-09-05	13	USA
2020-09-04	18	Canada
2020-09-04	57	USA
2020-09-04	50	Australia
2020-09-03	38	Australia
2020-09-03	49	USA
2020-09-02	47	Australia
2020-09-02	48	USA
2020-09-01	1	Russia
2020-09-01	160	USA
2020-09-01	63	Australia
2020-08-31	63	Australia
2020-08-31	58	USA
2020-08-30	7	USA
2020-08-30	26	Australia
2020-08-30	1	Hong Kong
2020-08-29	46	Australia
2020-08-29	12	Egypt
2020-08-29	7	USA
2020-08-28	1	Bahrain
2020-08-28	4	Brazil
2020-08-28	63	Australia
2020-08-28	30	USA
2020-08-27	66	Australia
2020-08-27	24	USA
2020-08-27	1	Russia
2020-08-26	41	Egypt
2020-08-26	22	USA
2020-08-26	97	Australia
2020-08-25	2	Bahrain
2020-08-25	21	USA
2020-08-25	72	Australia
2020-08-24	1	Egypt
2020-08-24	96	Australia
2020-08-24	53	USA
2020-08-23	6	USA
2020-08-23	83	Australia
2020-08-22	51	Egypt
2020-08-22	75	Australia
2020-08-22	18	USA
2020-08-21	1	Venezuela
2020-08-21	28	USA
2020-08-21	132	Australia
2020-08-20	4	Venezuela
2020-08-20	41	USA
2020-08-20	123	Australia
2020-08-19	53	USA
2020-08-19	126	Australia
2020-08-18	144	Australia
2020-08-18	42	USA
2020-08-17	1	Bahrain
2020-08-17	167	Australia
2020-08-17	11	Egypt
2020-08-17	40	USA
2020-08-16	10	USA
2020-08-16	110	Australia
2020-08-16	1	Hong Kong
2020-08-15	9	USA
2020-08-15	103	Australia
2020-08-14	11	Egypt
2020-08-14	5	China
2020-08-14	1	Hong Kong
2020-08-14	127	Australia
2020-08-14	33	USA
2020-08-13	1	Hong Kong
